,Observations,Exceptions,Actual_Exception_Rate,Expected_Exception_Rate,Kupiec_LR,Kupiec_P_Value,Kupiec_Decision,Independence_LR,Independence_P_Value,Independence_Decision,Conditional_Coverage_LR,Conditional_Coverage_P_Value,Conditional_Coverage_Decision,Overall_Status
Historical Simulation,2515.0,35.0,0.013916500994035786,0.010000000000000009,3.473330240357768,0.06236563411125284,Pass,15.501806253219286,8.242645286704597e-05,Reject,18.975136493577054,7.578817752640354e-05,Reject,Review
Parametric,2515.0,51.0,0.020278330019880716,0.010000000000000009,20.68002134151527,5.427940496849359e-06,Reject,20.855154543580454,4.953573818244905e-06,Reject,41.535175885095725,9.566457626064562e-10,Reject,Review
EWMA,2515.0,55.0,0.02186878727634195,0.010000000000000009,26.731582406205803,2.3376925528673098e-07,Reject,4.315804382952024,0.03775991497815179,Reject,31.047386789157827,1.8119475408973074e-07,Reject,Review
Monte Carlo,2515.0,50.0,0.019880715705765408,0.010000000000000009,19.265356084749726,1.1375175352323907e-05,Reject,16.860765257673222,4.02245244367494e-05,Reject,36.12612134242295,1.4299222472757833e-08,Reject,Review
