Date,Portfolio_Return,EWMA_VaR,EWMA_VaR_Dollar,Realized_Loss,Exception,Rolling_Exception_Rate,Rolling_Exception_Count,Exception_Severity
2015-12-31,-0.004131080123779941,0.015272840247669941,15272.840247669941,0.004131080123779941,False,,,0.0
2016-01-04,-0.008221152828364975,0.014993517806730909,14993.51780673091,0.008221152828364975,False,,,0.0
2016-01-05,0.0001952698259715557,0.01527297544929547,15272.97544929547,-0.0001952698259715557,False,,,0.0
2016-01-06,-0.0026848425475338275,0.014808117157876322,14808.117157876322,0.0026848425475338275,False,,,0.0
2016-01-07,-0.014047069470360852,0.014438288439760626,14438.288439760627,0.014047069470360852,False,,,0.0
2016-01-08,-0.005970742930071715,0.016125410860404046,16125.410860404047,0.005970742930071715,False,,,0.0
2016-01-11,-0.003222124682802985,0.01600009721110808,16000.097211108081,0.003222124682802985,False,,,0.0
2016-01-12,0.006212993637021791,0.015620951629180825,15620.951629180825,-0.006212993637021791,False,,,0.0
2016-01-13,-0.011033269489743971,0.015553380609197096,15553.380609197096,0.011033269489743971,False,,,0.0
2016-01-14,0.005021919427847155,0.016337734534788845,16337.734534788844,-0.005021919427847155,False,,,0.0
2016-01-15,-0.01322272088261478,0.016096442109426356,16096.442109426356,0.01322272088261478,False,,,0.0
2016-01-19,0.002841750336439186,0.01732982319175694,17329.823191756943,-0.002841750336439186,False,,,0.0
2016-01-20,-0.0027600130401348676,0.01687974067806334,16879.74067806334,0.0027600130401348676,False,,,0.0
2016-01-21,0.0009677301531877401,0.01644091447674589,16440.91447674589,-0.0009677301531877401,False,,,0.0
2016-01-22,0.015042467186383201,0.015949593837632114,15949.593837632114,-0.015042467186383201,False,,,0.0
2016-01-25,-0.006258674511345786,0.01768052662313407,17680.526623134072,0.006258674511345786,False,,,0.0
2016-01-26,0.009818670875383616,0.017508978312065084,17508.978312065083,-0.009818670875383616,False,,,0.0
2016-01-27,-0.007145560504359084,0.01787386093148562,17873.86093148562,0.007145560504359084,False,,,0.0
2016-01-28,0.005171376516050353,0.017801291434246816,17801.291434246818,-0.005171376516050353,False,,,0.0
2016-01-29,0.018001222998230395,0.017508760080281856,17508.760080281856,-0.018001222998230395,False,,,0.0
2016-02-01,1.2915390062295859e-05,0.01983393061079705,19833.93061079705,-1.2915390062295859e-05,False,,,0.0
2016-02-02,-0.010621850708470548,0.019229710591428244,19229.710591428244,0.010621850708470548,False,,,0.0
2016-02-03,0.00639283572039786,0.01960179238074173,19601.79238074173,-0.00639283572039786,False,,,0.0
2016-02-04,0.00520616397377045,0.01935063202947746,19350.632029477463,-0.00520616397377045,False,,,0.0
2016-02-05,-0.00966215075728234,0.018994241971764095,18994.241971764095,0.00966215075728234,False,,,0.0
2016-02-08,-0.0014894926511116455,0.01922104833676677,19221.048336766773,0.0014894926511116455,False,,,0.0
2016-02-09,-0.0036067597978725724,0.018654816621268097,18654.816621268095,0.0036067597978725724,False,,,0.0
2016-02-10,0.004729924446251777,0.01820291625320161,18202.91625320161,-0.004729924446251777,False,,,0.0
2016-02-11,0.0032038399806512356,0.01785300940472804,17853.00940472804,-0.0032038399806512356,False,,,0.0
2016-02-12,0.006141871498339845,0.01740514869130169,17405.148691301692,-0.006141871498339845,False,,,0.0
2016-02-16,0.004138469193716898,0.017234032840068955,17234.032840068954,-0.004138469193716898,False,,,0.0
2016-02-17,0.011741329441419236,0.016874611758336048,16874.611758336046,-0.011741329441419236,False,,,0.0
2016-02-18,0.0030458105579937557,0.01767574644905856,17675.74644905856,-0.0030458105579937557,False,,,0.0
2016-02-19,-0.001455644848936322,0.01722493680987145,17224.93680987145,0.001455644848936322,False,,,0.0
2016-02-22,0.0074414749764482035,0.01672078280553554,16720.782805535542,-0.0074414749764482035,False,,,0.0
2016-02-23,-0.006272050094253978,0.016756810578239606,16756.810578239605,0.006272050094253978,False,,,0.0
2016-02-24,0.0026333477477191282,0.01663481420837501,16634.81420837501,-0.0026333477477191282,False,,,0.0
2016-02-25,0.006296441030657852,0.01619770831474503,16197.70831474503,-0.006296441030657852,False,,,0.0
2016-02-26,-0.005990255871355422,0.01610891485303208,16108.914853032082,0.005990255871355422,False,,,0.0
2016-02-29,0.0018501382022021232,0.015986840327560477,15986.840327560478,-0.0018501382022021232,False,,,0.0
2016-03-01,0.013256453503023692,0.01553563060865988,15535.63060865988,-0.013256453503023692,False,,,0.0
2016-03-02,0.006020158881572125,0.01685044680765027,16850.44680765027,-0.006020158881572125,False,,,0.0
2016-03-03,0.0068522534047204655,0.016693402243425554,16693.402243425553,-0.0068522534047204655,False,,,0.0
2016-03-04,0.003106867354490683,0.016649201207066353,16649.20120706635,-0.003106867354490683,False,,,0.0
2016-03-07,-0.0004420971626366344,0.01623879570515866,16238.795705158662,0.0004420971626366344,False,,,0.0
2016-03-08,-0.005973549279983704,0.01574611196615093,15746.111966150931,0.005973549279983704,False,,,0.0
2016-03-09,0.0006421747134625954,0.01564130722664609,15641.307226646091,-0.0006421747134625954,False,,,0.0
2016-03-10,0.0025543673582562264,0.015169224449187045,15169.224449187046,-0.0025543673582562264,False,,,0.0
2016-03-11,0.005453196533469673,0.014778962666265483,14778.962666265483,-0.005453196533469673,False,,,0.0
2016-03-14,-0.0030766804480578005,0.014661814279375145,14661.814279375145,0.0030766804480578005,False,,,0.0
2016-03-15,-0.0029140349859502644,0.014322862754883077,14322.862754883077,0.0029140349859502644,False,,,0.0
2016-03-16,0.01199651863857003,0.013985459312366659,13985.459312366658,-0.01199651863857003,False,,,0.0
2016-03-17,0.005628889563921002,0.015185161473353517,15185.161473353517,-0.005628889563921002,False,,,0.0
2016-03-18,0.0020328144106734223,0.015067917512674297,15067.917512674298,-0.0020328144106734223,False,,,0.0
2016-03-21,-0.0014589999441838144,0.01465474105330417,14654.741053304171,0.0014589999441838144,False,,,0.0
