Date,Portfolio_Return,Historical_VaR,Historical_VaR_Dollar,Realized_Loss,Exception,Rolling_Exception_Rate,Rolling_Exception_Count,Exception_Severity
2015-12-31,-0.004131080123779941,0.017921580468112274,17921.580468112275,0.004131080123779941,False,,,0.0
2016-01-04,-0.008221152828364975,0.017921580468112274,17921.580468112275,0.008221152828364975,False,,,0.0
2016-01-05,0.0001952698259715557,0.017921580468112274,17921.580468112275,-0.0001952698259715557,False,,,0.0
2016-01-06,-0.0026848425475338275,0.017921580468112274,17921.580468112275,0.0026848425475338275,False,,,0.0
2016-01-07,-0.014047069470360852,0.017921580468112274,17921.580468112275,0.014047069470360852,False,,,0.0
2016-01-08,-0.005970742930071715,0.017921580468112274,17921.580468112275,0.005970742930071715,False,,,0.0
2016-01-11,-0.003222124682802985,0.017921580468112274,17921.580468112275,0.003222124682802985,False,,,0.0
2016-01-12,0.006212993637021791,0.017921580468112274,17921.580468112275,-0.006212993637021791,False,,,0.0
2016-01-13,-0.011033269489743971,0.017921580468112274,17921.580468112275,0.011033269489743971,False,,,0.0
2016-01-14,0.005021919427847155,0.017921580468112274,17921.580468112275,-0.005021919427847155,False,,,0.0
2016-01-15,-0.01322272088261478,0.017921580468112274,17921.580468112275,0.01322272088261478,False,,,0.0
2016-01-19,0.002841750336439186,0.017921580468112274,17921.580468112275,-0.002841750336439186,False,,,0.0
2016-01-20,-0.0027600130401348676,0.017921580468112274,17921.580468112275,0.0027600130401348676,False,,,0.0
2016-01-21,0.0009677301531877401,0.017921580468112274,17921.580468112275,-0.0009677301531877401,False,,,0.0
2016-01-22,0.015042467186383201,0.017921580468112274,17921.580468112275,-0.015042467186383201,False,,,0.0
2016-01-25,-0.006258674511345786,0.017921580468112274,17921.580468112275,0.006258674511345786,False,,,0.0
2016-01-26,0.009818670875383616,0.017921580468112274,17921.580468112275,-0.009818670875383616,False,,,0.0
2016-01-27,-0.007145560504359084,0.017921580468112274,17921.580468112275,0.007145560504359084,False,,,0.0
2016-01-28,0.005171376516050353,0.017921580468112274,17921.580468112275,-0.005171376516050353,False,,,0.0
2016-01-29,0.018001222998230395,0.017921580468112274,17921.580468112275,-0.018001222998230395,False,,,0.0
2016-02-01,1.2915390062295859e-05,0.017921580468112274,17921.580468112275,-1.2915390062295859e-05,False,,,0.0
2016-02-02,-0.010621850708470548,0.017921580468112274,17921.580468112275,0.010621850708470548,False,,,0.0
2016-02-03,0.00639283572039786,0.017921580468112274,17921.580468112275,-0.00639283572039786,False,,,0.0
2016-02-04,0.00520616397377045,0.017921580468112274,17921.580468112275,-0.00520616397377045,False,,,0.0
2016-02-05,-0.00966215075728234,0.017921580468112274,17921.580468112275,0.00966215075728234,False,,,0.0
2016-02-08,-0.0014894926511116455,0.017921580468112274,17921.580468112275,0.0014894926511116455,False,,,0.0
2016-02-09,-0.0036067597978725724,0.017921580468112274,17921.580468112275,0.0036067597978725724,False,,,0.0
2016-02-10,0.004729924446251777,0.017921580468112274,17921.580468112275,-0.004729924446251777,False,,,0.0
2016-02-11,0.0032038399806512356,0.017921580468112274,17921.580468112275,-0.0032038399806512356,False,,,0.0
2016-02-12,0.006141871498339845,0.017921580468112274,17921.580468112275,-0.006141871498339845,False,,,0.0
2016-02-16,0.004138469193716898,0.017921580468112274,17921.580468112275,-0.004138469193716898,False,,,0.0
2016-02-17,0.011741329441419236,0.017921580468112274,17921.580468112275,-0.011741329441419236,False,,,0.0
2016-02-18,0.0030458105579937557,0.017921580468112274,17921.580468112275,-0.0030458105579937557,False,,,0.0
2016-02-19,-0.001455644848936322,0.017921580468112274,17921.580468112275,0.001455644848936322,False,,,0.0
2016-02-22,0.0074414749764482035,0.017921580468112274,17921.580468112275,-0.0074414749764482035,False,,,0.0
2016-02-23,-0.006272050094253978,0.017921580468112274,17921.580468112275,0.006272050094253978,False,,,0.0
2016-02-24,0.0026333477477191282,0.017921580468112274,17921.580468112275,-0.0026333477477191282,False,,,0.0
2016-02-25,0.006296441030657852,0.017921580468112274,17921.580468112275,-0.006296441030657852,False,,,0.0
2016-02-26,-0.005990255871355422,0.017921580468112274,17921.580468112275,0.005990255871355422,False,,,0.0
2016-02-29,0.0018501382022021232,0.017921580468112274,17921.580468112275,-0.0018501382022021232,False,,,0.0
2016-03-01,0.013256453503023692,0.017921580468112274,17921.580468112275,-0.013256453503023692,False,,,0.0
2016-03-02,0.006020158881572125,0.017921580468112274,17921.580468112275,-0.006020158881572125,False,,,0.0
2016-03-03,0.0068522534047204655,0.017921580468112274,17921.580468112275,-0.0068522534047204655,False,,,0.0
2016-03-04,0.003106867354490683,0.015989505675735056,15989.505675735056,-0.003106867354490683,False,,,0.0
2016-03-07,-0.0004420971626366344,0.015989505675735056,15989.505675735056,0.0004420971626366344,False,,,0.0
2016-03-08,-0.005973549279983704,0.015989505675735056,15989.505675735056,0.005973549279983704,False,,,0.0
2016-03-09,0.0006421747134625954,0.015989505675735056,15989.505675735056,-0.0006421747134625954,False,,,0.0
2016-03-10,0.0025543673582562264,0.015989505675735056,15989.505675735056,-0.0025543673582562264,False,,,0.0
2016-03-11,0.005453196533469673,0.015989505675735056,15989.505675735056,-0.005453196533469673,False,,,0.0
2016-03-14,-0.0030766804480578005,0.015989505675735056,15989.505675735056,0.0030766804480578005,False,,,0.0
2016-03-15,-0.0029140349859502644,0.015989505675735056,15989.505675735056,0.0029140349859502644,False,,,0.0
2016-03-16,0.01199651863857003,0.015989505675735056,15989.505675735056,-0.01199651863857003,False,,,0.0
2016-03-17,0.005628889563921002,0.015989505675735056,15989.505675735056,-0.005628889563921002,False,,,0.0
2016-03-18,0.0020328144106734223,0.015989505675735056,15989.505675735056,-0.0020328144106734223,False,,,0.0
2016-03-21,-0.0014589999441838144,0.015989505675735056,15989.505675735056,0.0014589999441838144,False,,,0.0
2016-03-22,0.0005771527230983065,0.015989505675735056,15989.505675735056,-0.0005771527230983065,False,,,0.0
2016-03-23,-0.00863702804340749,0.015989505675735056,15989.505675735056,0.00863702804340749,False,,,0.0
2016-03-24,-0.0009140684184052673,0.015989505675735056,15989.505675735056,0.0009140684184052673,False,,,0.0
2016-03-28,0.0012245607821396388,0.015989505675735056,15989.505675735056,-0.0012245607821396388,False,,,0.0
