,Stress_Exception_Count,Stress_Exception_Rate,Stress_Average_VaR
Historical Simulation,12,0.022556390977443608,0.022880923038507493
Parametric,17,0.03195488721804511,0.02077724268231298
EWMA,9,0.016917293233082706,0.0244076946569255
Monte Carlo,17,0.03195488721804511,0.020727380979803357
