Date,Portfolio_Return,Monte_Carlo_VaR,Monte_Carlo_VaR_Dollar,Realized_Loss,Exception,Rolling_Exception_Rate,Rolling_Exception_Count,Exception_Severity
2015-12-31,-0.004131080123779941,0.014796091290522426,14796.091290522427,0.004131080123779941,False,,,0.0
2016-01-04,-0.008221152828364975,0.015211065450349443,15211.065450349442,0.008221152828364975,False,,,0.0
2016-01-05,0.0001952698259715557,0.015397924210630649,15397.924210630648,-0.0001952698259715557,False,,,0.0
2016-01-06,-0.0026848425475338275,0.014577919420313295,14577.919420313294,0.0026848425475338275,False,,,0.0
2016-01-07,-0.014047069470360852,0.015092187905745699,15092.187905745699,0.014047069470360852,False,,,0.0
2016-01-08,-0.005970742930071715,0.015914691607183066,15914.691607183066,0.005970742930071715,False,,,0.0
2016-01-11,-0.003222124682802985,0.014859481962547692,14859.481962547692,0.003222124682802985,False,,,0.0
2016-01-12,0.006212993637021791,0.015080711472763545,15080.711472763545,-0.006212993637021791,False,,,0.0
2016-01-13,-0.011033269489743971,0.016095926777363316,16095.926777363316,0.011033269489743971,False,,,0.0
2016-01-14,0.005021919427847155,0.015652871745315326,15652.871745315326,-0.005021919427847155,False,,,0.0
2016-01-15,-0.01322272088261478,0.015780764465623383,15780.764465623382,0.01322272088261478,False,,,0.0
2016-01-19,0.002841750336439186,0.015383477539951626,15383.477539951626,-0.002841750336439186,False,,,0.0
2016-01-20,-0.0027600130401348676,0.01503927258808294,15039.272588082938,0.0027600130401348676,False,,,0.0
2016-01-21,0.0009677301531877401,0.015477959421590462,15477.959421590462,-0.0009677301531877401,False,,,0.0
2016-01-22,0.015042467186383201,0.015153145147087238,15153.145147087238,-0.015042467186383201,False,,,0.0
2016-01-25,-0.006258674511345786,0.015961117849071116,15961.117849071115,0.006258674511345786,False,,,0.0
2016-01-26,0.009818670875383616,0.015408348001984798,15408.348001984798,-0.009818670875383616,False,,,0.0
2016-01-27,-0.007145560504359084,0.015619914737646345,15619.914737646346,0.007145560504359084,False,,,0.0
2016-01-28,0.005171376516050353,0.015566747769213773,15566.747769213773,-0.005171376516050353,False,,,0.0
2016-01-29,0.018001222998230395,0.015706970590492877,15706.970590492878,-0.018001222998230395,False,,,0.0
2016-02-01,1.2915390062295859e-05,0.015623758663066336,15623.758663066335,-1.2915390062295859e-05,False,,,0.0
2016-02-02,-0.010621850708470548,0.015713872654030597,15713.872654030598,0.010621850708470548,False,,,0.0
2016-02-03,0.00639283572039786,0.016184472552842315,16184.472552842315,-0.00639283572039786,False,,,0.0
