Date,Portfolio_Return,Parametric_VaR,Parametric_VaR_Dollar,Realized_Loss,Exception,Rolling_Exception_Rate,Rolling_Exception_Count,Exception_Severity
2015-12-31,-0.004131080123779941,0.01493674930056788,14936.74930056788,0.004131080123779941,False,,,0.0
2016-01-04,-0.008221152828364975,0.014938539228394988,14938.539228394988,0.008221152828364975,False,,,0.0
2016-01-05,0.0001952698259715557,0.015021194889642198,15021.194889642198,-0.0001952698259715557,False,,,0.0
2016-01-06,-0.0026848425475338275,0.015005474791515405,15005.474791515406,0.0026848425475338275,False,,,0.0
2016-01-07,-0.014047069470360852,0.015009139632914158,15009.139632914159,0.014047069470360852,False,,,0.0
2016-01-08,-0.005970742930071715,0.015207482284681752,15207.482284681751,0.005970742930071715,False,,,0.0
2016-01-11,-0.003222124682802985,0.015245351867426284,15245.351867426285,0.003222124682802985,False,,,0.0
2016-01-12,0.006212993637021791,0.015265944439813037,15265.944439813036,-0.006212993637021791,False,,,0.0
2016-01-13,-0.011033269489743971,0.01525979365701102,15259.79365701102,0.011033269489743971,False,,,0.0
2016-01-14,0.005021919427847155,0.015389683720857496,15389.683720857496,-0.005021919427847155,False,,,0.0
2016-01-15,-0.01322272088261478,0.015381327010592718,15381.327010592719,0.01322272088261478,False,,,0.0
2016-01-19,0.002841750336439186,0.015541569782523896,15541.569782523897,-0.002841750336439186,False,,,0.0
2016-01-20,-0.0027600130401348676,0.015539395813114708,15539.395813114708,0.0027600130401348676,False,,,0.0
2016-01-21,0.0009677301531877401,0.015499220419661269,15499.22041966127,-0.0009677301531877401,False,,,0.0
2016-01-22,0.015042467186383201,0.015492715927120851,15492.715927120851,-0.015042467186383201,False,,,0.0
2016-01-25,-0.006258674511345786,0.015592824509223198,15592.8245092232,0.006258674511345786,False,,,0.0
2016-01-26,0.009818670875383616,0.015592349864574584,15592.349864574584,-0.009818670875383616,False,,,0.0
2016-01-27,-0.007145560504359084,0.015600851129737924,15600.851129737925,0.007145560504359084,False,,,0.0
2016-01-28,0.005171376516050353,0.01565330247363682,15653.302473636822,-0.005171376516050353,False,,,0.0
2016-01-29,0.018001222998230395,0.015646929174972464,15646.929174972463,-0.018001222998230395,False,,,0.0
2016-02-01,1.2915390062295859e-05,0.015809590755404532,15809.590755404532,-1.2915390062295859e-05,False,,,0.0
2016-02-02,-0.010621850708470548,0.015814055770410177,15814.055770410178,0.010621850708470548,False,,,0.0
2016-02-03,0.00639283572039786,0.01592793954551327,15927.939545513269,-0.00639283572039786,False,,,0.0
2016-02-04,0.00520616397377045,0.015937968339497573,15937.968339497573,-0.00520616397377045,False,,,0.0
2016-02-05,-0.00966215075728234,0.015753148641694283,15753.148641694283,0.00966215075728234,False,,,0.0
2016-02-08,-0.0014894926511116455,0.01584794164561432,15847.941645614319,0.0014894926511116455,False,,,0.0
2016-02-09,-0.0036067597978725724,0.015859309475993795,15859.309475993796,0.0036067597978725724,False,,,0.0
2016-02-10,0.004729924446251777,0.0158672137781244,15867.2137781244,-0.004729924446251777,False,,,0.0
2016-02-11,0.0032038399806512356,0.015847421838863292,15847.421838863293,-0.0032038399806512356,False,,,0.0
2016-02-12,0.006141871498339845,0.01584652259381769,15846.522593817692,-0.006141871498339845,False,,,0.0
2016-02-16,0.004138469193716898,0.01580027628270835,15800.276282708348,-0.004138469193716898,False,,,0.0
2016-02-17,0.011741329441419236,0.01580163596603354,15801.635966033538,-0.011741329441419236,False,,,0.0
2016-02-18,0.0030458105579937557,0.015843965484448896,15843.965484448896,-0.0030458105579937557,False,,,0.0
2016-02-19,-0.001455644848936322,0.015843777615449826,15843.777615449826,0.001455644848936322,False,,,0.0
2016-02-22,0.0074414749764482035,0.015852982256813735,15852.982256813735,-0.0074414749764482035,False,,,0.0
2016-02-23,-0.006272050094253978,0.015861376048409568,15861.376048409567,0.006272050094253978,False,,,0.0
2016-02-24,0.0026333477477191282,0.015913833543977452,15913.833543977453,-0.0026333477477191282,False,,,0.0
2016-02-25,0.006296441030657852,0.01590306404845504,15903.06404845504,-0.006296441030657852,False,,,0.0
2016-02-26,-0.005990255871355422,0.01590741341481279,15907.41341481279,0.005990255871355422,False,,,0.0
2016-02-29,0.0018501382022021232,0.015945785108585464,15945.785108585464,-0.0018501382022021232,False,,,0.0
2016-03-01,0.013256453503023692,0.015911694811642077,15911.694811642077,-0.013256453503023692,False,,,0.0
2016-03-02,0.006020158881572125,0.015952361792952063,15952.361792952064,-0.006020158881572125,False,,,0.0
2016-03-03,0.0068522534047204655,0.015953121420344166,15953.121420344167,-0.0068522534047204655,False,,,0.0
2016-03-04,0.003106867354490683,0.015663337280716092,15663.337280716092,-0.003106867354490683,False,,,0.0
2016-03-07,-0.0004420971626366344,0.015663327337335234,15663.327337335233,0.0004420971626366344,False,,,0.0
2016-03-08,-0.005973549279983704,0.015559531651861221,15559.531651861222,0.005973549279983704,False,,,0.0
2016-03-09,0.0006421747134625954,0.015609244123638054,15609.244123638055,-0.0006421747134625954,False,,,0.0
2016-03-10,0.0025543673582562264,0.015610044772675432,15610.044772675432,-0.0025543673582562264,False,,,0.0
2016-03-11,0.005453196533469673,0.015568279033808417,15568.279033808418,-0.005453196533469673,False,,,0.0
2016-03-14,-0.0030766804480578005,0.015542963139057724,15542.963139057723,0.0030766804480578005,False,,,0.0
2016-03-15,-0.0029140349859502644,0.015567757945606957,15567.757945606958,0.0029140349859502644,False,,,0.0
2016-03-16,0.01199651863857003,0.015448832132896056,15448.832132896056,-0.01199651863857003,False,,,0.0
2016-03-17,0.005628889563921002,0.015463604971457582,15463.604971457582,-0.005628889563921002,False,,,0.0
2016-03-18,0.0020328144106734223,0.015438942461074804,15438.942461074805,-0.0020328144106734223,False,,,0.0
2016-03-21,-0.0014589999441838144,0.015436622165589761,15436.62216558976,0.0014589999441838144,False,,,0.0
2016-03-22,0.0005771527230983065,0.015448070795763477,15448.070795763477,-0.0005771527230983065,False,,,0.0
2016-03-23,-0.00863702804340749,0.015294259820594947,15294.259820594947,0.00863702804340749,False,,,0.0
2016-03-24,-0.0009140684184052673,0.015345898270002038,15345.898270002039,0.0009140684184052673,False,,,0.0
2016-03-28,0.0012245607821396388,0.015355442160457578,15355.442160457578,-0.0012245607821396388,False,,,0.0
2016-03-29,0.0136123598116074,0.01535279211382682,15352.79211382682,-0.0136123598116074,False,,,0.0
2016-03-30,-0.0009867621192318102,0.015401042952606421,15401.042952606422,0.0009867621192318102,False,,,0.0
2016-03-31,0.0013880203215449916,0.015400813408822081,15400.813408822081,-0.0013880203215449916,False,,,0.0
2016-04-01,0.002217744277018552,0.015400358422362839,15400.358422362839,-0.002217744277018552,False,,,0.0
2016-04-04,-0.005021606972323612,0.015389156448471374,15389.156448471374,0.005021606972323612,False,,,0.0
2016-04-05,-0.0030509694935764164,0.015421243276675291,15421.243276675292,0.0030509694935764164,False,,,0.0
2016-04-06,0.005214142062102622,0.015440658565234182,15440.658565234182,-0.005214142062102622,False,,,0.0
2016-04-07,-0.003943680757814927,0.01543979557650845,15439.79557650845,0.003943680757814927,False,,,0.0
2016-04-08,0.0022991553717671915,0.01546946552861312,15469.46552861312,-0.0022991553717671915,False,,,0.0
2016-04-11,0.003817425519099027,0.015439713793636178,15439.713793636178,-0.003817425519099027,False,,,0.0
